,job_title,company_name,date,location,skills,links,salary,responsabilites
15,Executive Assistant/Sales Analyst,Rashideen Egypt for Trade ,3 days ago,"Basatin, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Administration · Admin Work · Admin Assistant · Microsoft Office · Office Management · Secretary · Sales Analysis · Data Analysis · Administration · Analyst/Research,https://wuzzuf.net/jobs/p/hUe3cO2sQFWS-Executive-AssistantSales-Analyst-Rashideen-Egypt-for-Trade-Cairo-Egypt?o=16&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Minimum 2 years’ experience as an Executive Administrative Assistant, Senior Executive Assistant, or in other secretarial position. | knowledge of office management systems and procedures. | Basic bookkeeping and math skills. | Proficiency in English. | Exemplary planning and time management skills. | Current in today’s office technology, and computer software including MS Office. | Ability to multitask and prioritize daily workload. | Good level verbal and written communications skills. | Discretion with personal and confidential information. | "
16,Data Analyst,Unimix Egypt for Readymix concrete,1 day ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Data Analysis · Statistics · Analysis · Computer Science · Information Technology (IT) · SQL · Data Analyst · Reporting · Database · Analyst,https://wuzzuf.net/jobs/p/HufHHqCXznMy-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=17&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"4,500 to 6,000 EGP per month","At least two years of Proven working experience as a data analyst or business data analyst | Technical experience regarding data models, database design development, data mining and segmentation techniques. | Strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL etc.) | Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, etc.) | "
17,Junior Events Analyst,Z2 Data,7 days ago,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 0 - 2 Yrs of Exp · Data Analysis · Commerce · Arts · Data Management · Computer Skills · Microsoft Office · English · Mass Communication · Events Planning · Creative/Design/Art,https://wuzzuf.net/jobs/p/Kh4zBOkjIYGN-Junior-Events-Analyst-Z2-Data-Cairo-Egypt?o=18&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Graduated from any of the following specialties (Arts “English” - Alsun “English”- Commerce “English or Arabic Section” - Mass Communication) | Very good understanding of English. | Very good in MS office package. | Has analytical skills. | Aware with common events locally and globally. | 
18,Budget & Financial Control Analyst,Premier Services and Recruitment,9 days ago,"Sheraton, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Financial Analysis · Finance · Accounting · Financial Management · Compliance · Audit · Commerce · Analysis · English · Forecasting,https://wuzzuf.net/jobs/p/ch3MqrYhiK8L-Budget-Financial-Control-Analyst-Premier-Services-and-Recruitment-Cairo-Egypt?o=19&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,BA in commerce preferably in English Understanding the macro business environment | Minimum of 5 years of experience finance including At least 3 years’ experience in similar position | Internal or external audit experience an advantage | AXAPTA system experience is a must | Knowledge of regulations and legislation affecting Finance | Experience of leading complex cross functional/ divisional projects | Experience of complex qualitative & quantitative analysis | Fluent in English language | Must demonstrate full compliance with all legal requirements and all relevant policies. | Proficiency in data analysis and statistical forecasting. | Highly analytical mindset. Excellent mathematical aptitude. | Good problem solving skills & attention to detail. | 
19,Financial Analyst,Swift Egypt,1 month ago,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Finance · Financial Analysis · Economics · Financial · Data · Forecasting · Accounting · Analysis · ERP · Accounting/Finance,https://wuzzuf.net/jobs/p/uN8e1fsad1RK-Financial-Analyst-Swift-Egypt-Cairo-Egypt?o=20&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Hands on experience with statistical analysis and statistical packages | Proven knowledge of financial forecasting and diagnosis, corporate finance and information analysis  | Strong analytical, strategic thinking and data gathering skills  | High proficiency in financial modeling  | Proficiency with spreadsheets, databases and financial software applications. | Deep understanding of the financial system and institutions  | Self-starter with excellent interpersonal communication and problem-solving skills  | Well informed in current financial subjects, accounting, tax laws, money market and business environments | Knowledge of ERP systems and similar technologies  | Ability to streamline functions and passion to learn and grow  | Strong interpersonal skills, including written and oral communication skills  | Comfortable dealing with ambiguity and the ability to work independently  | Excellent time management, organizational skills with the ability to multitask and meet deadlines  | BSc degree in Finance, Accounting, Economics or related Field  | "
20,Data Analyst,Fawry Banking & Payment Technology Services,19 days ago,"Smart Village, Giza, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · SQL · Data Analysis · Analysis · Business Analysis · Business · English · Analytical · Banking · Analyst/Research,https://wuzzuf.net/jobs/p/8khF3ClkuCGo-Data-Analyst-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=21&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Strong analytical and problem-solving skills | Excellent command in spoken and written English. | 1-3 years of experience with at least 1 year in business analysis of Banking / Bill Payment environment.  | Demonstrated strong proficiency with SQL, Access and Excel across multiple platforms is a must. | "
21,Data Analyst,Elzayat Graphi Service ,18 days ago,"Obour City, Cairo, Egypt ",Full timeFreelance / ProjectExperienced · 4 - 6 Yrs of Exp · Data Analysis · Information Technology (IT) · Computer Science · Mathematics · Business Management · Economics · CAD Design · Analysis · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/33AsJJugB7Sp-Data-Analyst-Elzayat-Graphi-Service-Cairo-Egypt?o=22&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor’s degree, preferably in computer science, mathematics, business management, or economics | Advanced analytical skills with experience collecting, organizing, analyzing, and disseminating abundant information with accuracy | The ability to write reports | Exceptional verbal, written, and visual communication skills | Preferred experience in CAD design | "
22,Senior BI Analyst - KSA,SURE International Technology,22 days ago,"Riyadh, Saudi Arabia ",Full timeExperienced · 5+ Yrs of Exp · Tableau · Power BI · BI Analyst · BI Developer · Information Technology · Business Intelligence · Analysis · Business Analysis · DAX · SQL,https://wuzzuf.net/jobs/p/2Yy8yz1pHpOW-Senior-BI-Analyst---KSA-SURE-International-Technology-Riyadh-Saudi-Arabia?o=23&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Business analysis | Process oriented with great documentation skills | Excellent verbal and written skills | Knowledge of SQL queries | Knowledge of using DAX, Power BI, and Tableau | "
23,ICT Analyst,Jasper Colin Research,1 month ago,"Noida, India ",Full timeManager · 2 - 4 Yrs of Exp · ICT Analyst · Business Analyst · Market Research · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/P0W4TSDfsHqz-ICT-Analyst-Jasper-Colin-Research-Noida-India?o=24&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,not found,Not readable
24,Operations Analyst,EG Express,1 month ago,"Cairo, Egypt ",Full timeExperienced · 5 - 6 Yrs of Exp · Analysis · Operations · Project Management · Data Analytics · Operations/Management · Analyst/Research,https://wuzzuf.net/jobs/p/9B3viuVyOFhX-Operations-Analyst-EG-Express-Cairo-Egypt?o=25&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Experience working in an operations capacity  | Experience in project management and process optimization with data analytics, delivering production level metrics, insights, and actions. | Ability to present analysis in a clear and compelling manner. Excellent business judgment, analytical, problem-solving, interpersonal, and influencing skill | "
25,Capability Analyst,Confidential -,1 month ago,"Alexandria, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Capability Analyst · Data Analyst · Data Management · Excel · HR · Human Resources · Human Resources · Analyst/Research,https://wuzzuf.net/jobs/p/q0y1sEpSK8Dp-Capability-Analyst-Alexandria-Egypt?o=26&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Bachelor’s degree. | HR background preferred | Excellent Excel Skills is a MUST | 
26,Financial Analyst,Canan Capital,1 month ago,"Cairo, Egypt ",Part timeExperienced · 4 - 5 Yrs of Exp · Financial Analysis · Finance · Accounting · Analysis · Accounting/Finance,https://wuzzuf.net/jobs/p/vfp47HIQmLPH-Financial-Analyst-Canan-Capital-Cairo-Egypt?o=27&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"4,000 to 6,000 EGP per month",Excellent communication skills. | Excellent analytical skills. | Excellent Microsoft Excel techniques | 
27,SOC Analyst,Etisalat Misr,12 days ago,"Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Information Technology (IT) · SOC · Computer Science · C++ · Cyber Security · Engineering · SIEM · NIST · TCP/IP · Python,https://wuzzuf.net/jobs/p/zyzWMLao6qOZ-SOC-Analyst-Etisalat-Misr-Cairo-Egypt?o=28&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"University Degree in:  BSC in Communication Engineering, Computer Engineering or Computer science. | Familiarity with the risk management framework NIST 800-37. | Familiarity with security controls as described in NIST 800- 35. | Experience with analysis and inspection of log information, packets, and other security tool information output from a variety of sources. | Excellent analytical and problem solving skills. | Knowledge of packet capture and analysis. | Strong interpersonal skills to interact with team members and upper management. | Strong collaborative skills. | Self-discipline to work according to playbook and time requirements. | Passion for cyber security and staying up-to-date with current threats, tools and techniques. | Willingness to learn new security technologies, products and incident analysis and response approaches. | Excellent written and oral communication skills. | Hands-on experience with some or all of the following is preferred: | Windows, Linux and Cisco operating systems. | Net Flow and full packet capture technology. | ntrusion Detection Systems (IDS) and SIEM technologies. | Firewalls, antivirus and other similar network security tools. | Fundamental understanding of: | Information security and Network Security Monitoring. | Computer networking (TCP/IP). | Cyber Security Incident Response, client-side and server-side attack chain and modern malware threats. | Knowledge and experience with scripting and programming (Python, PERL, etc.) is highly preferred. | Ability to prioritize tasks. | "
28,Business Analyst,INTDV,11 days ago,"Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Business Analysis · Business Analyst · Analysis · Information Technology (IT) · Computer Science · Business · Software · Software Development · Computer Engineering · Engineering,https://wuzzuf.net/jobs/p/6HJehTsKFzqx-Business-Analyst-INTDV-Cairo-Egypt?o=29&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,B.Sc. or M.Sc. degree in Computer Engineering or Computer Science disciplines. | 5+ years of experience as Business Analyst in Software business  | Solid understanding of the software development lifecycle. | High communication and critical thinking skills. | Proven ability to deal with ambiguity. | Highly proficient technical writing capabilities | Strong ability to work independently or as part of a team. | UML Diagrams. | Analytical thinking and problem solving ability. | Modeling techniques and methods. | 
29,Portfolio Analyst,Bayt El Khebra,11 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 6 - 9 Yrs of Exp · Accounting · Economics · Finance · Portfolio Analysis · English · ERP · Oracle · Accounting/Finance,https://wuzzuf.net/jobs/p/ueI6T9OhSSU7-Portfolio-Analyst-Bayt-El-Khebra-Cairo-Egypt?o=30&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Medical , Transportation and other benefits.","Bachelor's degree in Economics, Finance, or any similar studies (English section is a Must). | More than 6 Years’ experience in the same field is A must. | Excellent command in Excel is A must. | ERP financial application experience is an asset (Oracle is a great plus). | Excellent command in English (Writing and Speaking). | "
30,Systems Analyst,ExaServe LLC,6 days ago,"Riyadh, Saudi Arabia ",Full timeExperienced · 4 - 6 Yrs of Exp · Information Technology (IT) · Computer Science · System Analysis · Testing · Information Technology · Programming · Database · Software · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/5XjLORkv5oWb-Systems-Analyst-ExaServe-LLC-Riyadh-Saudi-Arabia?o=31&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Must be a Riyadh residence | Bachelor's degree in computer science or information technology, or equivalent experience | 4-6 years experience working with information technologies and systems analysis | Strong computer, hardware, software, and analytical skills | Proven ability to assess business needs and translate them into relevant solutions | Strong understanding and knowledge of the principles and practices associated with database maintenance and administration | Experience installing, configuring, documenting, testing, training, and implementing new applications and systems | Working knowledge of a wide variety of programming languages | Excellent analytical skills | "
31,Software Business Analyst,DEVOPSolution,2 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Business Analysis · Business · Analysis · Quality Assurance · Software · Information Technology (IT) · Analytical · Computer Science · Technical Writing · MBA,https://wuzzuf.net/jobs/p/Q9hUJ575yvQm-Software-Business-Analyst-DEVOPSolution-Cairo-Egypt?o=32&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"A bachelor’s degree in business, computer science or related field/ Master’s degree - MBA. | A minimum of 5 years experience in business analysis or a related field. | Experience leading and developing top performing teams. | A history of leading and supporting successful projects. | Previous experience in Business / Systems Analysis or Quality Assurance. | "
32,Business Analyst,The Arab Company for Advanced Electronic Technology Services,16 days ago,"Agouza, Giza, Egypt ",Full timeEntry Level · 1 - 4 Yrs of Exp · Information Technology (IT) · Business Analysis · Analysis · R&D · Research · Computer Science · Software Analysis · Technical Writing · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/b4ETvyXNnQkv-Business-Analyst-The-Arab-Company-for-Advanced-Electronic-Technology-Services-Giza-Egypt?o=33&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Documentations, R&D Skills | Able to write Proposals, Technical offers, and documents. | "
33,QC Stability Analyst,Al Andalous Pharmaceutical Industries,9 days ago,"6th of October, Giza, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Pharmaceutical · Pharmacy · Quality Control · Science · Quality · Pharma · R&D/Science · Quality · Pharmaceutical,https://wuzzuf.net/jobs/p/QxZZ1WvNSUW8-QC-Stability-Analyst-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=34&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Bachelor of Pharmacy or Science. | 1-3 years of experience in Stability or Finished Products. | Male only is required. | October resident or nearby areas are preferable. | Pharmaceutical background is a must. | 
34,Research Analyst,Confidential -,17 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 5 - 20 Yrs of Exp · Due Diligence · Customer Due Diligence · Research Analyst · Risk Analyst · Analysis · Market Research · English · Writing · Research · Business Analysis,https://wuzzuf.net/jobs/p/7gMCsbZfpt4Z-Research-Analyst-Cairo-Egypt?o=35&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"5,000 to 6,000 EGP per month, Bonus's per project assignment",Excellent customer services/phone skills a must (previous English call centre experience advantage | Male / Female | Office Experience (minimum of 5 years) | Advanced Computer Skills | Reporting Skills | Attention to Details | Deadline-Oriented | General Math Skills | Excellent English language (reading and writing) | Previous research experience an advantage | Previous experience as supervisor/Team Leader / Manager | 
35,Financial Analyst - Intern,Intercap Capital ,21 days ago,"Giza, Egypt ",InternshipStudent · 0 - 1 Yrs of Exp · Finance · Accounting · Research · Analysis · Financial Analysis · Financial Reports · English · Arabic · MS Office · Accounting/Finance,https://wuzzuf.net/jobs/p/LWckNJBJPubc-Financial-Analyst---Intern-Intercap-Capital-Giza-Egypt?o=36&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"1,000 to 1,500 EGP per month",Qualified Finance Student or fresh Graduate | Ability to ensure work quality and accuracy | Good written & spoken communication skills in English and Arabic | Knowledge of MS Office Suite | 3 months training that will result in permanent position if person proves capable | Prefer candidates living close to our offices in Dokki | 
36,Financial Analyst - Cairo,Cairo Three A  for Agricultural and Animal Production,17 days ago,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Financial Analysis · Finance · Financial Analyst · Accounting · Commerce · English · Analysis · Financial Management · Accounting/Finance · Analyst/Research,https://wuzzuf.net/jobs/p/nkBMyJrtVL81-Financial-Analyst---Cairo-Cairo-Three-A-for-Agricultural-and-Animal-Production-Cairo-Egypt?o=37&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Education B.Sc. in Accounting. | Excellent command of English language. | Excellent communication skills | Excellent report writing skills | 3-5 years of experience as a Financial Analyst. | Excellent analytical skills. | Personal Skills Excellent communication, interpersonal skills including time management skills. | "
37,Competitive Intelligence Analyst,Breadfast,29 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Marketing · Intelligence Analyst · Business Development · English · Analysis · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing,https://wuzzuf.net/jobs/p/FarHZtshxfLG-Competitive-Intelligence-Analyst-Breadfast-Cairo-Egypt?o=38&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor’s Degree | Professional command of the English language | Exceptional communication, analysis, and problem-solving skills | Proficiency in excel and ability to perform analyses | Excellent business writing and presentation skills | Highly organized and detail oriented  | 2+ years of solid experience in a relevant field | "
38,German Chemist Data Analyst,Confidential -,1 month ago,"Sheraton, Cairo, Egypt ",Full timePart timeExperienced · 2 - 3 Yrs of Exp · Analysis · Science · Research · Chemist · Safety · Chemistry · German · English · Quality Control · R&D/Science,https://wuzzuf.net/jobs/p/55TLq5gVnwbY-German-Chemist-Data-Analyst-Cairo-Egypt?o=39&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Social & Medical Insurance + Annual Bonus","Fluent German & English Language is a Must. | Bachelor's degree in chemistry, analytical chemistry, or a related field | Experience in working with different departments with different countries | Max. age is 32 years | 2-3 years of experience Beauty industry experience preferred | Quality control experience a plus | Strong computer skills, including Microsoft Office | "
